modelo,atributo,media,escala
anterior,alcohol,12.955887096774191,0.8081041254537946
anterior,malic_acid,2.2870161290322577,1.055673596181764
anterior,ash,2.3634677419354833,0.2680456279009911
anterior,alcalinity_of_ash,19.66854838709677,3.373243077597865
anterior,magnesium,100.04032258064517,15.172342831373006
anterior,total_phenols,2.293064516129032,0.6245439334986188
anterior,flavanoids,2.007096774193548,0.9512841695728553
anterior,nonflavanoid_phenols,0.36000000000000015,0.11730852621434064
anterior,proanthocyanins,1.605564516129031,0.5765460315385323
anterior,color_intensity,4.994274185483872,2.3714971194645758
anterior,hue,0.9535967741935483,0.22905189999827544
anterior,od280/od315_of_diluted_wines,2.6010483870967733,0.6828106271122314
anterior,proline,748.3306451612904,306.82459846329857
mlp,alcohol,12.955887096774191,0.8081041254537946
mlp,malic_acid,2.2870161290322577,1.055673596181764
mlp,ash,2.3634677419354833,0.2680456279009911
mlp,alcalinity_of_ash,19.66854838709677,3.373243077597865
mlp,magnesium,100.04032258064517,15.172342831373006
mlp,total_phenols,2.293064516129032,0.6245439334986188
mlp,flavanoids,2.007096774193548,0.9512841695728553
mlp,nonflavanoid_phenols,0.36000000000000015,0.11730852621434064
mlp,proanthocyanins,1.605564516129031,0.5765460315385323
mlp,color_intensity,4.994274185483872,2.3714971194645758
mlp,hue,0.9535967741935483,0.22905189999827544
mlp,od280/od315_of_diluted_wines,2.6010483870967733,0.6828106271122314
mlp,proline,748.3306451612904,306.82459846329857
