atributo,media,escala
alcohol,12.955887096774191,0.8081041254537946
malic_acid,2.2870161290322577,1.055673596181764
ash,2.3634677419354833,0.2680456279009911
alcalinity_of_ash,19.66854838709677,3.373243077597865
magnesium,100.04032258064517,15.172342831373006
total_phenols,2.293064516129032,0.6245439334986188
flavanoids,2.007096774193548,0.9512841695728553
nonflavanoid_phenols,0.36000000000000015,0.11730852621434064
proanthocyanins,1.605564516129031,0.5765460315385323
color_intensity,4.994274185483872,2.3714971194645758
hue,0.9535967741935483,0.22905189999827544
od280/od315_of_diluted_wines,2.6010483870967733,0.6828106271122314
proline,748.3306451612904,306.82459846329857
