modelo,indice_original,clase_real,clase_predicha,probabilidad_clase_0,probabilidad_clase_1,probabilidad_clase_2
anterior,2,0,0,0.9964320100326414,0.0025059574495765354,0.0010620325177820673
anterior,64,1,1,0.00030716254076727296,0.9992248577647839,0.00046797969444897135
anterior,18,0,0,0.9975552174685484,0.00032724669528582203,0.002117535836165886
anterior,7,0,0,0.9950529946870783,0.00034960253929780045,0.004597402773623857
anterior,38,0,0,0.8233894601639455,0.17475065318891633,0.0018598866471382196
anterior,58,0,0,0.9977455080824462,0.00044217833669163155,0.0018123135808619972
anterior,156,2,2,0.004600369202122496,0.0009700941350551242,0.9944295366628224
anterior,87,1,1,0.00012434240196998857,0.9993696473956811,0.0005060102023489583
anterior,121,1,1,0.1380316625962986,0.8600306321893222,0.0019377052143792056
anterior,130,2,2,0.011996965472201965,0.0676890583807201,0.920313976147078
anterior,118,1,1,0.0046672408624651345,0.8993413987621279,0.0959913603754069
anterior,98,1,1,0.026347816327835748,0.9734607360795817,0.0001914475925825702
anterior,177,2,2,0.0040470565654653675,0.0006426554253501547,0.9953102880091844
anterior,94,1,1,0.0010447406573042938,0.9987216714307506,0.0002335879119451475
anterior,22,0,0,0.9952233134481211,0.0041198668993836125,0.0006568196524952546
anterior,155,2,2,0.002267815763775843,0.0014274648364101838,0.9963047193998139
anterior,76,1,1,0.000456067877348939,0.9992610791135016,0.0002828530091492888
anterior,23,0,0,0.9801223789105566,0.01800480801847666,0.001872813070966649
anterior,176,2,2,0.004897049304571691,0.000983902315752818,0.9941190483796756
anterior,169,2,2,0.005146526431333654,0.0007526181368017335,0.9941008554318645
anterior,102,1,1,0.007599570280270813,0.9885815417465391,0.0038188879731900468
anterior,144,2,2,0.003946239483723727,0.0020635649497331198,0.993990195566543
anterior,138,2,2,0.00492692520576332,0.012118906086198195,0.9829541687080384
anterior,143,2,2,0.018170236195604244,0.01568786097868514,0.9661419028257107
anterior,68,1,0,0.5572399118226002,0.10425028220130378,0.338509805976096
anterior,164,2,2,0.002383283638108287,0.0012389736966786592,0.9963777426652131
anterior,35,0,0,0.9763247798650629,0.02195692707917038,0.0017182930557666388
anterior,62,1,1,0.014851319650290577,0.9827835898990815,0.0023650904506277823
anterior,14,0,0,0.998758799391435,0.00047329325371718676,0.0007679073548478568
anterior,112,1,1,0.008007012467383603,0.9762174647028878,0.015775522829728383
anterior,21,0,0,0.980227651947953,0.015432825188604856,0.004339522863442008
anterior,66,1,1,0.01809261078986224,0.9817656342298777,0.00014175498026002675
anterior,134,2,2,0.007669245868566129,0.33537547839516757,0.6569552757362662
anterior,93,1,1,0.0010418758136119292,0.998793610127763,0.0001645140586251462
anterior,100,1,1,0.0011177340944218907,0.9987328665304391,0.00014939937513898532
anterior,173,2,2,0.007144656842186547,0.0006668648986053086,0.9921884782592081
anterior,60,1,1,0.002789745165345715,0.9863929208366511,0.010817333998003262
anterior,129,1,1,0.0010167867415594725,0.9859668578206525,0.013016355437787917
anterior,84,1,1,0.002813425481662436,0.9966726089600944,0.0005139655582431435
anterior,20,0,0,0.9961577602811247,0.0031688113604591553,0.0006734283584161562
anterior,132,2,2,0.0013159439507764296,0.03257619862521974,0.9661078574240037
anterior,51,0,0,0.9977359671304656,0.0014020162440475492,0.0008620166254866133
anterior,46,0,0,0.9983111224081125,0.0007669212781805653,0.000921956313706879
anterior,48,0,0,0.9960668901547566,0.0020765724752225784,0.0018565373700208912
anterior,10,0,0,0.9982280854379616,0.0009422544600788865,0.0008296601019594097
anterior,92,1,1,0.00017204511820910278,0.9984904150240432,0.0013375398577477689
anterior,128,1,1,0.00014767142725122758,0.9994663802274175,0.0003859483453312455
anterior,42,0,0,0.9982196046396459,0.00045331808833103544,0.00132707727202295
anterior,166,2,2,0.004155068592780645,0.0009108909861421552,0.9949340404210772
anterior,39,0,0,0.9979431760865641,0.0004662190744861245,0.0015906048389498861
anterior,108,1,1,0.00022878410818103734,0.9995335791248985,0.00023763676692053362
anterior,105,1,1,0.00021269100609989645,0.9989369176663693,0.0008503913275309212
anterior,165,2,2,0.002098051035095299,0.006904710056005816,0.9909972389088989
anterior,28,0,0,0.9965429530041716,0.002384660183631292,0.0010723868121970679
mlp,2,0,0,0.9919628388161202,0.004675139417081597,0.003362021766798157
mlp,64,1,1,0.0022903034490449523,0.9950157414890027,0.002693955061952333
mlp,18,0,0,0.9916855250148346,0.0040942527373670715,0.004220222247798308
mlp,7,0,0,0.9911098746265788,0.004147529275711016,0.004742596097709932
mlp,38,0,0,0.9302995626732831,0.06492633996577891,0.004774097360938236
mlp,58,0,0,0.9915524920907008,0.004136494967136865,0.00431101294216213
mlp,156,2,2,0.009385978838852114,0.012221449504369788,0.978392571656778
mlp,87,1,1,0.0021905485291782664,0.9950991825355113,0.0027102689353104806
mlp,121,1,1,0.04628654882922807,0.9505761474272997,0.0031373037434722214
mlp,130,2,2,0.013431277665142766,0.025796301054794673,0.9607724212800625
mlp,118,1,1,0.004961679396537467,0.9543649813555029,0.04067333924795968
mlp,98,1,1,0.014328312782237946,0.9835558538142016,0.0021158334035603827
mlp,177,2,2,0.009267039571511735,0.01209730984049541,0.9786356505879928
mlp,94,1,1,0.0026637076727767475,0.9948224148151718,0.002513877512051415
mlp,22,0,0,0.9915674216373674,0.005312362162049923,0.0031202162005824945
mlp,155,2,2,0.008700103377094405,0.01253375882074816,0.9787661378021574
mlp,76,1,1,0.0023590882517906422,0.9949951170153304,0.0026457947328791358
mlp,23,0,0,0.9882100111897628,0.008204076804188557,0.003585912006048548
mlp,176,2,2,0.009457819857366956,0.012203369074931594,0.9783388110677015
mlp,169,2,2,0.009896978065546114,0.012082815742832417,0.9780202061916216
mlp,102,1,1,0.003838657323170317,0.9923655046633396,0.003795838013490101
mlp,144,2,2,0.00944751442048525,0.01268911737084828,0.9778633682086665
mlp,138,2,2,0.009321841629836743,0.01621466046278732,0.974463497907376
mlp,143,2,2,0.012135018595431608,0.017272891744543977,0.9705920896600245
mlp,68,1,0,0.579236105156395,0.08787091239687554,0.3328929824467295
mlp,164,2,2,0.008721604913755225,0.012478201250597405,0.9788001938356474
mlp,35,0,0,0.986740761645962,0.009506252536296892,0.0037529858177410536
mlp,62,1,1,0.005035851772126628,0.9914895994173948,0.0034745488104786426
mlp,14,0,0,0.9922284374550755,0.004087031201239885,0.003684531343684604
mlp,112,1,1,0.004176282511900706,0.990614930229972,0.005208787258127095
mlp,21,0,0,0.9888430812464293,0.007039260993897805,0.004117657759672993
